headline,guardian_keywords,esg_category
School climate strike children’s brave stand has our support | Letter ,"['climate change', 'environment']",environmental
The barriers to a carbon fee and dividend policy | Letters ,"['climate change', 'environment']",environmental
Ohio calls on neighbours for help as Lake Erie turns green ,"['pollution', 'environment']",environmental
Solar geoengineering could be ‘remarkably inexpensive’ – report ,"['climate change', 'environment']",environmental
Carry the cost: plastic bag levy 'to rise to 10p – with no shop spared' ,"['waste', 'environment', 'recycling']",environmental
"UK, France and Germany lobbied for flawed car emissions tests, documents reveal ","['pollution', 'environment']",environmental
"The contrails conspiracy is not just garbage, it's letting aviation off the hook | George Monbiot ","['environment', 'greenhouse gas emissions', 'climate change']",environmental
How I learned to love a waste incinerator | Patrick Barkham ,"['waste', 'pollution', 'environment']",environmental
UK government deletes reference to Dyson electric car plans ,"['environment', 'greenhouse gas emissions']",environmental
"Speed of glacier retreat worldwide 'historically unprecedented', says report ","['climate change', 'climate change', 'environment']",environmental
Windfarm operators taken to court over South Australian blackout ,"['renewable energy', 'environment']",environmental
Scrapping Hinkley for renewable alternatives will save 'tens of billions' ,"['environment', 'renewable energy']",environmental
When politics doesn't address the big issues it's not surprising people lose faith in the system | Peter Lewis ,['climate change'],environmental
Climate crisis is making world’s forests shorter and younger – study ,"['environment', 'climate change']",environmental
We are all at risk from poisonous mercury. It's time to take action ,"['pollution', 'environment', 'waste']",environmental
Huge 10-ton fatberg removed from Chelsea sewer ,"['environment', 'pollution']",environmental
The sound of silence: is cutting out noise the answer to a stress-free life? ,"['pollution', 'environment']",environmental
The great climate silence: we are on the edge of the abyss but we ignore it | Clive Hamilton ,"['climate change', 'climate change', 'environment']",environmental
"'Invisible killer': fossil fuels caused 8.7m deaths globally in 2018, research finds ","['pollution', 'environment']",environmental
"US west coast toxic algae bloom might be largest ever, say scientists ","['pollution', 'environment']",environmental
'You can taste it in the air': your stories of life in polluted cities ,"['pollution', 'climate change', 'environment', 'air pollution']",environmental
South Downs recognised for quality of starry nights ,"['pollution', 'environment']",environmental
The Bhopal boy set to prove David Cameron wrong on carbon capture ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Conservative road to climate catastrophe | Letters ,"['climate change', 'environment']",environmental
'Decades of denial': major report finds New Zealand's environment is in serious trouble ,"['environment', 'pollution', 'climate change']",environmental
Bank of England warns of financial risk from fossil fuel investments ,"['environment', 'climate change']",environmental
"We created the Anthropocene, and the Anthropocene is biting back | Alastair Gee, Dani Anguiano ","['environment', 'climate change', 'climate change']",environmental
"UK to pass 1,000 hours without coal as energy shift accelerates ",['renewable energy'],environmental
Net gains: how India trawlers’ plastic catch is helping to rebuild roads ,"['recycling', 'environment', 'waste']",environmental
World history seen via a shop window | Brief letters ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Sadiq Khan promises London will be run on clean energy by 2050 ,"['climate change', 'environment']",environmental
Obama pushes climate change action on Earth Day: 'Folks don't have time' to wait ,"['climate change', 'environment']",environmental
"Corbyn to tell MPs: Do your duty, and declare a UK climate emergency ","['climate change', 'environment']",environmental
Nasa launches satellite to precisely track how Earth's ice is melting ,"['environment', 'climate change']",environmental
Npower profits plunge 60% amid ongoing billing problems ,"['climate change', 'environment']",environmental
Labour can win in 2024 with my plan to tackle the climate emergency | Rebecca Long-Bailey ,"['climate change', 'environment']",environmental
"Fight climate change for global stability, says US defence and diplomacy figures ","['climate change', 'climate change', 'environment']",environmental
"Air pollution deaths are double previous estimates, finds research ","['air pollution', 'environment']",environmental
Climate talks will test Biden’s pledge to make global heating a priority ,"['climate change', 'environment']",environmental
'Panic is setting in': Jayda G brings climate crisis home to fans ,"['climate change', 'environment']",environmental
Zero-carbon energy outstrips fossil fuels in Britain across 2019 ,"['renewable energy', 'environment']",environmental
Local people tackle tide of beach plastic in Mumbai ,"['plastics', 'environment', 'pollution']",environmental
Suing for climate action: can the courts save us from the black hole of political inaction? ,"['environment', 'climate change', 'climate change']",environmental
California's rainfall is at historic lows. That spells trouble for wildfires and farms ,"['environment', 'climate change']",environmental
Canada reneges on emissions targets as tar sands production takes its toll ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
"As panic about climate change sets in, I’m thinking about escape – to Canada | Emma Brockes ","['environment', 'climate change']",environmental
"Never mind Extinction Rebellion, let's consider Boris Johnson's charge sheet | Stewart Lee ","['climate change', 'environment']",environmental
'What are the Wellcome Trust using their access to the boardroom for?' ,"['climate change', 'environment']",environmental
BirthStrikers: meet the women who refuse to have children until climate change ends ,"['climate change', 'environment']",environmental
Severe climate-driven loss of native molluscs reported off Israel’s coast ,"['environment', 'climate change', 'climate change']",environmental
Japan and South Korea top list of biggest coal financiers by export credit ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
Extinction Rebellion: protesters to offer to 'pause' climate action ,"['environment', 'climate change']",environmental
Australia’s bushfires and the climate crisis | Letters ,"['climate change', 'environment']",environmental
Plan for 10 billion ultra-efficient LEDs lights up Paris climate summit ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
How meteorologists are using techniques from financial markets to predict the weather ,['climate change'],environmental
Government set to face fresh legal challenge over air pollution crisis ,"['air pollution', 'pollution', 'environment']",environmental
"China will struggle to meet growth target, says premier ","['pollution', 'environment']",environmental
Beto O'Rourke: just how green is the Texas Democrat? ,"['environment', 'climate change', 'renewable energy']",environmental
US steams ahead with new rules to curb pollution by superyachts ,"['pollution', 'environment']",environmental
Underwater sculptures installed on the banks of Thames in London ,"['climate change', 'environment']",environmental
Nuclear power? Yes please. Hinkley Point? No thanks | George Monbiot ,"['environment', 'waste']",environmental
Paris climate talks: Obama calls Xi Jingping in final push for a deal ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Record-breaking heatwave pushing hospitals into emergency measures ,['climate change'],environmental
Air pollution nanoparticles linked to brain cancer for first time ,"['air pollution', 'environment']",environmental
"The Pentagon emits more greenhouse gases than Portugal, study finds ","['climate change', 'environment']",environmental
Tell us your experiences living with poor air quality in the UK ,"['air pollution', 'environment']",environmental
Renewable energy defies Covid-19 to hit record growth in 2020 ,"['renewable energy', 'climate change', 'environment']",environmental
"Not feeling quite so blue, Peter, Val et al | Brief letters ","['plastics', 'environment']",environmental
Greenpeace blocks BP HQ with solar panels on new CEO's first day ,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
"Australia coal use is 'existential threat' to Pacific islands, says Fiji PM ","['climate change', 'environment']",environmental
UN environment chief criticised by UN over frequent flying ,"['greenhouse gas emissions', 'environment', 'climate change']",environmental
Al Gore criticizes Obama on climate change and 'insane' Arctic drilling ,"['climate change', 'climate change', 'environment']",environmental
Tony Abbott says climate change is 'probably doing good' ,"['climate change', 'environment']",environmental
Germany to mothball largest coal power plants to meet climate targets ,"['environment', 'greenhouse gas emissions', 'renewable energy', 'climate change']",environmental
AgForce backs calls for review of consensus science on Great Barrier Reef ,"['environment', 'climate change', 'pollution']",environmental
Brazil's mining tragedy: was it a preventable disaster? ,"['environment', 'pollution']",environmental
The facts of extinction and the need to act | Letters ,"['environment', 'climate change']",environmental
"Tougher penalties needed to curb surge in fly-tipping, say councils ","['waste', 'environment']",environmental
UK acorn crop 'being hit by climate change' ,"['climate change', 'environment']",environmental
'Biosolar leaf' project targets air pollution on London campus ,"['pollution', 'environment']",environmental
'Significant' lithium find spurs hopes of Cornwall regeneration ,"['greenhouse gas emissions', 'environment']",environmental
Nearly all the world's countries sign deal to prevent plastic waste – except US ,"['plastics', 'pollution', 'environment']",environmental
UK's biggest carbon capture project is step-change on emissions ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Australia's bushfire politics: the parties prevaricate while the country burns ,"['climate change', 'environment']",environmental
Climate change denial in the Trump cabinet: where do his nominees stand? ,"['climate change', 'climate change', 'environment']",environmental
Re-wild to mitigate the climate crisis urge leading scientists ,"['climate change', 'climate change', 'environment']",environmental
Part of monster sewer fatberg goes on display at London museum ,"['waste', 'environment']",environmental
War on plastic waste faces setback as cost of recycled material soars ,"['plastics', 'environment', 'recycling', 'waste']",environmental
Many more stinging insects have arrived in the UK – they’re welcome | Patrick Barkham ,"['environment', 'climate change']",environmental
Will going to Davos in a Learjet help climate change? ,"['climate change', 'environment']",environmental
People in Manchester 'exposed to dangerous levels of air pollution' ,"['air pollution', 'environment']",environmental
Liverpool led the way on water fountains | Letters ,"['environment', 'plastics']",environmental
Royal Dutch Shell may fail to reach green energy targets ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
"Your old plastic bottle … reborn as a towel, bag or swimsuit ","['recycling', 'waste', 'plastics', 'environment']",environmental
David Pocock warns of devastating impact on sport if climate crisis inaction continues ,"['climate change', 'environment']",environmental
India says Paris climate deal won't affect plans to double coal output ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
What businesses want Trump to know about climate change ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Pollutionwatch: bicycles take over City of London rush hour ,"['air pollution', 'pollution', 'environment']",environmental
"Climate crisis more politically polarizing than abortion for US voters, study finds ","['climate change', 'environment']",environmental
Are the days of recycling with a clear conscience over? | Sharon George ,"['recycling', 'waste', 'environment', 'pollution', 'plastics']",environmental
"Bonn climate talks will aim to meet goals laid out in Paris, says UN ","['climate change', 'climate change', 'environment', 'greenhouse gas emissions']",environmental
"Climate emergency: what the oil, coal and gas giants say ","['environment', 'pollution']",environmental
Pope Francis says climate change is mostly man's fault ,"['climate change', 'environment']",environmental
Underground magma triggered Earth’s worst mass extinction with greenhouse gases | Howard Lee ,"['climate change', 'environment', 'climate change']",environmental
To the ends of the Earth: the activists risking their lives to defend the environment ,"['environment', 'climate change', 'climate change']",environmental
World's beaches disappearing due to climate crisis – study ,"['environment', 'climate change', 'climate change']",environmental
Time to take our lead from the young | Letters ,['climate change'],environmental
Burning issue: Are wood-burning stoves going to get the chop? ,"['air pollution', 'environment']",environmental
Big sustainability could mean big business ,['climate change'],environmental
Tasmania is burning. The climate disaster future has arrived while those in power laugh at us | Richard Flanagan ,"['climate change', 'environment']",environmental
"North Carolina activists win on fracking, might still lose on renewable energy ","['renewable energy', 'environment']",environmental
World leaders pledge to halt Earth’s destruction ahead of UN summit ,"['environment', 'pollution', 'climate change']",environmental
'Total monster': fatberg blocks London sewage system ,"['waste', 'environment', 'pollution']",environmental
Can we fix it? The repair cafes waging war on throwaway culture ,"['recycling', 'environment', 'waste']",environmental
Indian minister promises to tackle country's acute air pollution problem ,"['pollution', 'environment']",environmental
"Climate crisis is about to put humanity at risk, UN scientists warn ","['climate change', 'environment']",environmental
Last day in Paradise: the untold story of how a fire swallowed a town ,"['environment', 'climate change', 'climate change']",environmental
'Generational divide': UK split by age over tax rises for public services ,['climate change'],environmental
Lignite mining: Greece’s dirty secret - in pictures ,"['environment', 'pollution']",environmental
BBC: ‘we get climate change coverage wrong too often’ ,"['climate change', 'climate change', 'environment']",environmental
Doomsday clock lurches to 100 seconds to midnight – closest to catastrophe yet ,"['climate change', 'climate change', 'environment']",environmental
Greenpeace exposes sceptics hired to cast doubt on climate science ,"['climate change', 'climate change', 'environment']",environmental
Giant Antarctic iceberg breaks free of Larsen C ice shelf ,"['environment', 'climate change', 'climate change']",environmental
US interior secretary says California wildfires nothing to do with climate change ,"['environment', 'climate change']",environmental
Forget Lucian Freud's nudes – he was a magnificent painter of plants ,['climate change'],environmental
The US is in a water crisis far worse than most people imagine | Erin Brockovich ,"['environment', 'pollution']",environmental
What's Trump hiding in the climate report? That global warming’s effects are here | Ken Kimmell and Brenda Ekwurzel ,"['climate change', 'pollution', 'greenhouse gas emissions', 'environment', 'climate change']",environmental
"How to fix climate change: put cities, not countries, in charge | Benjamin Barber ","['climate change', 'environment']",environmental
Clean air zones to tackle traffic pollution delayed or on hold ,"['pollution', 'environment']",environmental
"Consume more, conserve more: sorry, but we just can’t do both | George Monbiot ","['climate change', 'climate change', 'greenhouse gas emissions', 'environment']",environmental
A mission for journalism in a time of crisis ,"['climate change', 'environment']",environmental
"Climate change is turning Antarctica green, say researchers ","['climate change', 'climate change', 'environment']",environmental
"As the wealthy clog our streets with cars, we’re struggling to breathe | Catherine Shoard ","['pollution', 'environment']",environmental
The oceans are warming faster than climate models predicted | Dana Nuccitelli ,"['climate change', 'environment', 'climate change']",environmental
The return of toilet towels: can we get over 'the yuck factor'? ,"['environment', 'recycling', 'waste']",environmental
The key areas of Boris Johnson's 'green industrial revolution' ,"['climate change', 'greenhouse gas emissions', 'renewable energy', 'environment']",environmental
UK's sewage system in danger of gridlock from toilet paper substitutes ,"['waste', 'environment']",environmental
"China's coal-burning in significant decline, figures show ","['environment', 'renewable energy', 'climate change', 'greenhouse gas emissions', 'pollution']",environmental
Is business ready for extreme weather? – open thread ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Stop treating science denial like a disease ,"['environment', 'climate change']",environmental
Global drought: why is no one discussing fresh water at Cop21? ,"['climate change', 'environment']",environmental
Portrait of a planet on the verge of climate catastrophe ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Avoid black plastic food packaging – and the 16 other essential rules of effective recycling ,"['recycling', 'environment', 'plastics', 'waste']",environmental
"Act on climate change now, top British institutions tell governments ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Africa poised to lead way in global green revolution, says report ","['renewable energy', 'environment']",environmental
Fischer Energy joins UK retail market with 100% renewable offer ,"['renewable energy', 'environment']",environmental
Storm Bella helps UK set new record for wind power generation ,"['renewable energy', 'environment']",environmental
In not at all intimidating news: Adani wants the names of scientists investigating it | First Dog on the Moon ,['climate change'],environmental
Coke's recycled plastic bottle scheme criticised as PR spin by green groups ,"['plastics', 'environment', 'waste', 'recycling']",environmental
Tottenham Hotspur station is a bad idea | Brief letters ,"['renewable energy', 'environment']",environmental
Late frost gives UK magic mushroom hunters an extra high ,"['climate change', 'environment']",environmental
Critics alarmed by US nuclear agency's bid to relax rules on radioactive waste ,"['environment', 'waste']",environmental
BP to install charging points for electric cars at UK petrol stations ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Global pollution kills millions and threatens 'survival of human societies' ,"['pollution', 'environment']",environmental
Labour to propose new wellbeing law to inform policy decisions ,"['climate change', 'environment']",environmental
"Scotland needs tougher policies to meet CO2 targets, say experts ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Shell lobbied to undermine EU renewables targets, documents reveal ","['greenhouse gas emissions', 'environment', 'renewable energy']",environmental
Barack Obama on food and climate change: ‘We can still act and it won’t be too late’ ,"['climate change', 'climate change', 'environment']",environmental
"Majority of Britons worried about global warming, poll finds ","['climate change', 'environment']",environmental
"Climate crisis: recent European droughts 'worst in 2,000 years' ","['climate change', 'climate change', 'environment']",environmental
Can America's first floating wind farm shake off environmental concerns? ,"['renewable energy', 'environment', 'climate change']",environmental
Youth climate strikers can win their fight. Here’s a manifesto | George Monbiot ,"['climate change', 'environment']",environmental
Nations halt funding to UN environment programme as outcry over chief grows ,"['greenhouse gas emissions', 'environment', 'climate change']",environmental
Great Barrier Reef: record heatwave may cause another coral bleaching event ,"['environment', 'climate change']",environmental
Rubbish dump landslide kills at least 30 in Ethiopia ,"['waste', 'environment']",environmental
Looking forward to palindromic issues | Brief letters ,"['climate change', 'environment']",environmental
Green energy feels the heat as subsidies go to fossil fuels ,"['renewable energy', 'environment']",environmental
Treasury blocked moves to charge diesel cars to enter polluted UK cities ,"['pollution', 'environment']",environmental
People's Climate March: the revolution starts here | Ricken Patel ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Hillary Clinton could run on strongest climate change platform ever ,"['climate change', 'environment']",environmental
"Extreme weather, human error and why the world floods ","['environment', 'climate change']",environmental
Texas freeze shows a chilling truth – how the rich use climate change to divide us | Robert Reich ,"['climate change', 'environment']",environmental
Hydro project brings electricity to remote parts of Pakistan for first time  ,"['environment', 'renewable energy']",environmental
MPs urge parliament to approve 2030 carbon target ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Greta Thunberg to Congress: ‘You’re not trying hard enough. Sorry’ ,"['environment', 'climate change']",environmental
Environment to benefit from ‘biggest farming shake-up in 50 years’ ,"['climate change', 'environment']",environmental
The American people – not Big Oil – must decide our climate future | Senator Bernie Sanders and Mark Jacobson ,"['climate change', 'climate change', 'environment', 'renewable energy']",environmental
Britain's first mega-battery plant to come online in Sheffield ,"['renewable energy', 'environment']",environmental
"Shale gas fracking should go ahead in UK, says taskforce ","['renewable energy', 'climate change', 'environment']",environmental
Naomi Klein: how power profits from disaster ,"['climate change', 'environment', 'climate change']",environmental
Cross-party bloc of MPs back action on sewage discharge into rivers ,"['pollution', 'environment']",environmental
Tampons aren't for toilets: biodegradable bag hopes to fight the flushers ,"['waste', 'environment', 'pollution']",environmental
World first for Shetlands in tidal power breakthrough ,"['renewable energy', 'environment']",environmental
European diplomats criticise UN plan to curb airline emissions ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Air pollution may cause more UK deaths than previously thought, say scientists ","['pollution', 'environment']",environmental
"Restore UK woodland by letting trees plant themselves, says report ","['environment', 'greenhouse gas emissions', 'climate change']",environmental
Scientist's theory of climate's Titanic moment the 'tip of a mathematical iceberg' ,"['climate change', 'climate change', 'environment']",environmental
Europe heatwave: record high of 45C expected in France ,['climate change'],environmental
UK government scraps green homes grant after six months ,"['environment', 'climate change']",environmental
Uber pledges £5m toward electric vehicle charging points in London ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Group representing 1m medical students backs fossil fuel divestment ,"['environment', 'climate change']",environmental
Paris climate deal: the world's greatest diplomatic success ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Our new alliance unites 600m city dwellers in fight against climate change  ,"['climate change', 'environment', 'pollution']",environmental
"Art of diesel: Air-Ink, the artists' supplies made from vehicle pollution ","['pollution', 'environment']",environmental
Hottest ever June marks 14th month of record-breaking temperatures ,"['climate change', 'environment']",environmental
Albanese says Scott Morrison has a habit of being 'loose with the truth' ,"['climate change', 'environment']",environmental
Carney warns of risks from climate change 'tragedy of the horizon' ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
"If governments will not punish VW’s shocking behaviour, consumers must ","['pollution', 'environment']",environmental
The innovators: portable solar panels that can be unrolled like a carpet ,"['environment', 'renewable energy']",environmental
Jet and lorry fuels made from rubbish to receive UK funding ,"['pollution', 'waste', 'greenhouse gas emissions', 'environment']",environmental
Are we killing our rivers? The water supply for the whole of England is in jeopardy | Nick Davies ,"['pollution', 'climate change', 'environment']",environmental
"Tata Steel benefited from EU climate policies, studies show ","['environment', 'greenhouse gas emissions', 'climate change']",environmental
Malawi reinstates ban on plastic bags as campaigners hail 'fantastic victory' ,"['plastics', 'environment']",environmental
Revealed: UK government failing to tackle rise of serious air pollutant ,"['environment', 'pollution']",environmental
"Charge more for flights to deter tourists and help the planet, says Air New Zealand adviser ",['climate change'],environmental
Alaskan towns at risk from rising seas sound alarm as Trump pulls federal help ,"['climate change', 'environment']",environmental
100 countries push to phase out potentially disastrous greenhouse gas ,"['environment', 'climate change']",environmental
Can slag heaps help save the planet? ,"['climate change', 'climate change', 'greenhouse gas emissions', 'environment']",environmental
Caffeine hit: what happens to Britain's 3bn empty coffee cups? ,"['waste', 'environment', 'recycling']",environmental
Why does Burberry destroy its products and how is it justified? ,"['environment', 'waste']",environmental
Historical documents reveal Arctic sea ice is disappearing at record speed | Dana Nuccitelli ,"['climate change', 'environment', 'climate change']",environmental
"Beijing smog makes city ‘unliveable’, says mayor ","['pollution', 'environment']",environmental
EU politicians seek to revive sluggish carbon market ,"['environment', 'pollution', 'greenhouse gas emissions', 'climate change']",environmental
"Beijing air quality improved in 2015 despite pollution alerts, authorities say ","['pollution', 'environment']",environmental
Proposed Queensland coal-fired power plant under cloud over emissions and financing ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
"Pristina in the spotlight: Rita Ora aside, can Kosovo's capital make it big? ","['pollution', 'environment']",environmental
"US Senators detail a climate science ""web of denial"" but the impacts go well beyond their borders ","['environment', 'climate change', 'climate change']",environmental
'Limited' progress at Bangkok climate talks ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Atmospheric CO2 levels rise sharply despite Covid-19 lockdowns ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Greta Thunberg is right – only a general strike will force action on climate change | McEver Dugan and Evan Cholerton ,"['climate change', 'environment']",environmental
These are the four SDGs we need to agree on to help the planet ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Extremely polluting Nissan and Renault diesel cars still on sale, data reveals ","['pollution', 'environment', 'air pollution']",environmental
Antarctica: what it means when the coldest place on Earth records an unprecedented heatwave ,"['climate change', 'environment']",environmental
The costly gridlock: how can we keep our cities moving? ,"['pollution', 'greenhouse gas emissions', 'environment']",environmental
Nestlé targets the last of the Smarties plastic caps ,"['plastics', 'waste', 'environment', 'recycling']",environmental
Tory lobbying against air pollution laws smells of political corruption | George Monbiot ,"['pollution', 'environment']",environmental
Study of Covid deaths in England is latest to find air pollution link ,"['air pollution', 'pollution', 'environment']",environmental
Plastic waste entering oceans expected to triple in 20 years ,"['plastics', 'environment', 'pollution', 'waste', 'recycling']",environmental
Fracking plan ‘will release same C02 as 300m new cars’ ,"['climate change', 'environment']",environmental
Warren debuts ambitious policy plan that addresses environmental racism ,"['environment', 'climate change']",environmental
Oil firm Shell to end its relationship with BFI and Southbank Centre ,"['environment', 'climate change']",environmental
Flights are grounded - is this the moment we give up our addiction to flying? | Nicole Badstuber ,"['greenhouse gas emissions', 'environment']",environmental
North Pole explorers on thin ice as climate change hits expedition ,"['climate change', 'environment']",environmental
Air pollution 'as bad as smoking in increasing risk of miscarriage' ,"['air pollution', 'pollution']",environmental
Pacific islands make last-ditch plea to world before Paris climate change talks ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Scottish Power blames weather and price cap for 80% drop in profits ,['renewable energy'],environmental
Climategate 10 years on: what lessons have we learned? ,"['climate change', 'environment', 'climate change']",environmental
Q&amp;A recap: business council calls for legislated target of net zero emissions by 2050 ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Ted Cruz listed as only climate policy 'hero' by Koch brothers-backed group ,"['climate change', 'environment']",environmental
Mayor Sadiq Khan: some thoughts on what would make him a success ,"['pollution', 'environment']",environmental
"Divorce growth from greenhouse gases to aid climate goals, says energy chief ","['environment', 'climate change']",environmental
Historic Surrey gardens under threat from road-widening plan ,"['environment', 'pollution']",environmental
The Human Epoch: when did it start? | @BobOHara &amp; @GrrlScientist ,"['climate change', 'climate change', 'environment']",environmental
"Global financial bodies not fit for purpose, John McDonnell says ","['climate change', 'environment']",environmental
Supreme Court orders UK to draw up air pollution cleanup plan ,"['pollution', 'environment']",environmental
Scott Morrison returns from holiday and signals no change to climate policy despite bushfires crisis ,['climate change'],environmental
Electric car owners 'can drive for free by letting energy firms use battery' ,"['environment', 'greenhouse gas emissions']",environmental
China's pollution problem gets hairy with 'nose-tache' to filter smog ,"['pollution', 'environment']",environmental
China and EU strengthen commitment to Paris deal with US poised to step away ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Catch them if you can: the pragmatic ways to cut carbon emissions ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Eco-fascism is undergoing a revival in the fetid culture of the extreme right | Jason Wilson ,['climate change'],environmental
Iranian football matches postponed as air pollution soars ,"['pollution', 'environment']",environmental
Weatherwatch: heatwaves test limits of nuclear power ,['climate change'],environmental
Read the full address given by Pope Francis to the United Nations today  #PopeInNYC,"['climate change', 'environment']",environmental
Mother wins right to seek new inquest into girl's death linked to air pollution ,"['air pollution', 'environment']",environmental
Drivers resist low-emission scheme as London struggles to clean up its air ,"['air pollution', 'pollution', 'environment']",environmental
Tackling climate change is vital for the strongest economic recovery after coronavirus | Patrick Suckling ,"['climate change', 'environment']",environmental
"London one of worst capitals in Europe for clean, safe transport, study shows ","['air pollution', 'environment']",environmental
Ineos leads industry lobbying effort to avoid paying green tax ,"['greenhouse gas emissions', 'environment']",environmental
Stop talking right now about the threat of climate change. It’s here; it’s happening | Bill McKibben ,"['climate change', 'climate change', 'environment']",environmental
George Osborne's budget marks his full transformation from green ally to foe ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
Compostable and edible packaging: the companies waging war on plastic ,"['plastics', 'waste', 'environment']",environmental
The football industry needs to wake up to the climate emergency ,"['climate change', 'environment']",environmental
How air pollution affects your health - infographic   ,"['pollution', 'environment']",environmental
"Australia's extreme heat is sign of things to come, scientists warn ","['climate change', 'environment']",environmental
Finland's SDP tries to build coalition after narrow election win ,['climate change'],environmental
UK's big energy firms accused of failing to tackle climate crisis ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
"Food waste an enormous economic problem, say G20 ministers ","['waste', 'environment', 'climate change']",environmental
UK ban on new fossil fuel vehicles by 2030 'not enough' to hit climate targets ,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
"To save the planet, we need a new type of growth | Letter ","['environment', 'climate change']",environmental
Washington governor Jay Inslee drops out of 2020 presidential race ,"['climate change', 'environment']",environmental
A billion people without electricity ‘missing out on pledged climate funds’ ,"['environment', 'climate change', 'renewable energy']",environmental
Residents vote against nuclear waste dump near Hawker in South Australia ,"['environment', 'waste']",environmental
Obama administration tightens rules on smog pollution ,"['pollution', 'environment']",environmental
Japan's coal-fired plants 'to cause thousands of early deaths' ,"['environment', 'pollution']",environmental
Pacific leaders plead with Australia to drop plans to carry over emissions credits ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Dong Energy IPO to value windfarm operator at £11bn ,"['environment', 'renewable energy']",environmental
Deputy PM Michael McCormack accused of disputing evidence of global heating ,"['climate change', 'climate change']",environmental
Open Thread: which global goal should your country prioritise?  #globalgoals #SDGs ,['climate change'],environmental
Australian tech company Atlassian urges business to support climate strikes ,"['climate change', 'environment']",environmental
Here’s how to save the earth without giving up on economic growth  #longreads ,"['environment', 'climate change', 'climate change']",environmental
Most countries' climate plans 'totally inadequate' – experts ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Joe Biden could bring Paris climate goals 'within striking distance' ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
BP to pay $175m to investors over Deepwater Horizon spill ,"['environment', 'pollution']",environmental
British doctors and health professionals call for rapid coal phase-out ,"['environment', 'pollution']",environmental
Trump administration declines to stiffen US clean air standards ,"['pollution', 'environment']",environmental
Kathleen Jamie: 'Nature writing has been colonised by white men' ,"['climate change', 'environment']",environmental
$306bn in one year: US bill for natural disasters smashes record ,"['environment', 'climate change']",environmental
"Bushfires, heatwaves and early deaths: the climate is changing before our eyes | Tim Flannery ","['climate change', 'climate change', 'environment']",environmental
Global warming is causing more extreme storms | John Abraham ,"['climate change', 'climate change']",environmental
What is air pollution like where you are? Share your experiences ,"['pollution', 'environment']",environmental
All that perfectly good water dumped into the ocean like some sort of enormous NATURE TOILET! | First Dog on the Moon ,"['environment', 'climate change']",environmental
Neocons linked to Tea Party paid for Andrea Leadsom’s flights to US ,['climate change'],environmental
Victims of Hurricane Michael voted for climate deniers | John Abraham ,"['climate change', 'environment', 'climate change']",environmental
Composer Laura Bowler: my journey to the end of the world ,"['climate change', 'environment']",environmental
Indian city's cow dung ban leaves a bitter taste for street food vendors ,"['air pollution', 'environment']",environmental
Oil firm bids to extend drilling off Dorset coast despite risk to marine life ,"['environment', 'renewable energy']",environmental
"‘Compelling reasons’ not to open Cumbrian coal mine, says Kwasi Kwarteng ","['climate change', 'environment']",environmental
Indian Point nuclear reactor remains shut down after blast and fire ,"['environment', 'pollution']",environmental
Ella Kissi-Debrah: new inquest granted into 'air pollution' death ,"['air pollution', 'environment']",environmental
California vows fightback after Trump voids state's right to set emissions rules ,"['climate change', 'pollution', 'environment']",environmental
How a 'typo' nearly derailed the Paris climate deal ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
